N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.8951837923086255,0.8871037483458831,0.8853442971440401,0.5692124105011933,0.7946411653217926,0.6581532352630752
Model2,500,2,1,0.8956690525294189,0.8929023246112946,0.8896341467312074,0.6294749403341289,0.7263744736685334,0.6558678219123788
Model3,500,3,1,0.8944559019774354,0.884888412041077,0.8859176546048045,0.587708830548926,0.7319428876333971,0.643822136925084
Model4,500,1,2,0.9042824214485018,0.900608429934096,0.8961498724187098,0.6175417661097852,0.8021823224000498,0.6816540435300816
Model5,500,2,2,0.9171418172995268,0.9155590610208889,0.9145532906882592,0.714200477326969,0.7778883527537397,0.7375451498036532
Model6,500,3,2,0.9094989688220309,0.9027070132834808,0.9026211406680265,0.610381861575179,0.7956140768393559,0.6890572057503581
Model7,800,1,2,0.899187189130171,0.8970959111443118,0.8957801826020005,0.6264916467780429,0.7408741299564672,0.673109762491685
Model8,800,2,2,0.9141089409195681,0.9095455543689982,0.9094866223152399,0.6867541766109785,0.7975297322564097,0.7318157014139796
Model9,800,3,2,0.9042824214485018,0.8988935709456076,0.8974870827434477,0.5996420047732697,0.8096076462036909,0.6882037008283405
