N_MODEL,HIDDEN_SIZE,N_LAYERS,DIRECTIONS,RECALL,PRECISION,F1,RECALL_WO_O,PRECISION_WO_O,F1_WO_O
Model1,500,1,1,0.9319422540337255,0.9326868709201588,0.9320339482828078,0.7738663484486874,0.7960024725566953,0.7835767280064141
Model2,500,2,1,0.8945772170326337,0.9298745698724799,0.9064421428266943,0.7326968973747017,0.7264599130567617,0.7032845457928598
Model3,500,3,1,0.8368312507582191,0.9231496641736456,0.8669973329272769,0.7118138424821002,0.6526948656484723,0.6343915055646562
Model4,500,1,2,0.9399490476768166,0.9380727750904078,0.9376129081644606,0.763126491646778,0.852412085272905,0.8015302661838324
Model5,500,2,2,0.9371588014072546,0.9384929071007665,0.9374042282218868,0.7995226730310262,0.8026002292996118,0.7989885818049183
Model6,500,3,2,0.8893606696591047,0.9273867293575103,0.9030812387029885,0.7684964200477327,0.6909027803393671,0.7083530988729805
Model7,800,1,2,0.9200533786242873,0.9391063340146277,0.9269113889768634,0.8335322195704057,0.7573046445320671,0.7842059070176062
Model8,800,2,2,0.9412835132839985,0.9416519300008063,0.9409346235227108,0.7852028639618138,0.8372780831100287,0.8087839367319444
Model9,800,3,2,0.8938493267014437,0.9151026193010862,0.9006074060147223,0.7064439140811456,0.6806717777862938,0.6756616582227749
